narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier
406,15,111,0,0.0,1.0,1,0.0,1269.0,3.5,1939.0,female,Sansei,2009.0,A
407,16,120,0,0.0,1.0,1,1.0,1275.0,10.5,1932.0,female,Nisei,2009.0,A
408,22,146,0,0.0,1.0,1,1.0,1275.0,18.5,1924.0,female,Nisei,2009.0,A
409,20,175,0,0.0,1.0,1,1.0,1819.0,14.667,1928.0,female,Sansei,2009.0,A
41,24,212,0,0.0,1.0,1,0.0,1312.0,19.333,1923.0,female,Nisei,1997.0,A
410,21,156,0,0.0,1.0,1,0.0,1848.0,6.583,1936.0,female,Nisei,2009.0,A
411,25,169,0,0.0,1.0,1,0.0,847.0,21.25,1921.0,female,Nisei,2009.0,A
412,25,1323,0,0.0,1.0,1,1.0,1275.0,14.5,1928.0,female,Nisei,2009.0,A
413,21,1148,0,0.0,1.0,1,0.0,2662.0,19.417,1923.0,male,Nisei,2009.0,A
415,25,1337,0,0.0,1.0,1,1.0,2793.0,17.25,1925.0,male,Nisei,2009.0,A
416,22,1205,0,0.0,1.0,1,0.0,1329.0,7.417,1935.0,female,Nisei,2009.0,A
417,24,1288,0,0.0,1.0,1,0.0,1393.0,25.417,1917.0,male,Nisei,2009.0,A
418,14,99,0,0.0,1.0,1,1.0,1269.0,15.5,1927.0,male,Nisei,1997.0,A
419,25,237,0,0.0,1.0,1,0.0,1470.0,22.417,1920.0,male,Nisei,2009.0,A
42,50,458,0,0.0,1.0,1,0.0,2444.0,3.5,1939.0,male,Sansei,1998.0,A
420,23,204,0,0.0,1.0,1,1.0,1306.0,12.417,1930.0,female,Nisei,2009.0,A
421,25,173,0,0.0,1.0,1,0.0,1470.0,24.417,1918.0,female,Nisei,2009.0,A
422,24,174,0,0.0,1.0,1,1.0,1312.0,14.333,1928.0,male,Issei,2009.0,A
423,25,1330,0,0.0,1.0,1,1.0,1277.0,17.417,1925.0,male,Nisei,2009.0,A
424,25,1339,0,0.0,1.0,1,1.0,3246.0,13.417,1929.0,female,Nisei,2009.0,A
425,24,146,0,0.0,1.0,1,1.0,3911.0,17.333,1925.0,female,Nisei,2009.0,A
426,25,1307,0,0.0,1.0,1,1.0,1277.0,16.417,1926.0,male,Nisei,2009.0,A
427,22,1145,0,0.0,1.0,1,0.0,1955.0,23.417,1919.0,female,Nisei,2009.0,A
429,25,225,0,0.0,1.0,1,0.0,1393.0,19.417,1923.0,male,Nisei,2009.0,A
43,14,802,0,0.0,1.0,1,0.0,2539.0,19.417,1923.0,male,Kibei,1998.0,A
430,18,955,0,0.0,1.0,1,0.0,1277.0,25.417,1917.0,male,Nisei,2009.0,A
431,24,147,0,0.0,1.0,1,0.0,1269.0,24.5,1918.0,female,Nisei,2009.0,A
432,22,147,0,0.0,1.0,1,0.0,2461.0,22.5,1920.0,female,Nisei,2009.0,A
433,13,65,0,0.0,1.0,1,1.0,1295.0,14.417,1928.0,female,Nisei,2009.0,C
434,23,139,0,0.0,1.0,1,1.0,1269.0,15.5,1927.0,male,Nisei,2009.0,A
435,24,125,0,0.0,1.0,1,1.0,2662.0,17.417,1925.0,female,Nisei,2009.0,A
436,25,161,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2009.0,A
437,25,142,0,0.0,1.0,1,0.0,1269.0,26.5,1916.0,female,Nisei,2009.0,A
438,24,157,0,0.0,1.0,1,1.0,3937.0,18.417,1924.0,male,Nisei,2009.0,A
