narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier,how_multimodal_score_mean,how_multimodal_score_max,composure_score_mean,composure_score_max,r_how,p_hat_r_how,ipo_weight,ipo_weight_stabilized
132,24,274,0,0.0,1.0,1,0.0,1317.0,26.417,1916.0,female,Nisei,2002.0,A,0.4705,0.5951,0.3375,0.45,1,0.7725002668335886,1.2944979347371788,0.9211959006627295
133,22,250,0,0.0,1.0,1,0.0,1312.0,31.333,1911.0,female,Nisei,2002.0,A,0.4492,0.65,0.3045,0.65,1,0.8048868290884929,1.2424106891306275,0.8841293624767804
135,24,305,0,0.0,1.0,1,0.0,1175.0,3.667,1939.0,male,Sansei,2003.0,A,0.7334,0.8862,0.2396,0.35,1,0.58684564771242,1.7040255881560933,1.2126256398798299
136,25,280,0,0.0,1.0,1,0.0,1312.0,22.333,1920.0,female,Nisei,2003.0,A,0.398,0.62,0.356,0.62,1,0.7316025333652783,1.3668624073786728,0.9726922018634717
139,41,1470,0,0.0,1.0,1,0.0,1445.0,20.417,1922.0,male,Nisei,2004.0,A,0.4379,0.6,0.3356,0.6,1,0.8137159985329999,1.2289299974473162,0.874536177672445
14,25,174,0,0.0,1.0,1,0.0,2645.0,21.417,1921.0,female,Nisei,1998.0,A,0.2416,0.6184,0.194,0.35,1,0.8516313477346713,1.1742169926694073,0.8356010860343241
140,43,1995,0,0.0,1.0,1,1.0,1470.0,16.417,1926.0,male,Nisei,1983.0,A,0.4778,0.7907,0.2406,0.4,1,0.9264146711801134,1.0794302282865942,0.7681485421225726
141,25,1626,0,0.0,1.0,1,0.0,2662.0,35.417,1907.0,male,Nisei,1994.0,A,0.4102,0.65,0.3848,0.65,1,0.9567480621552071,1.0452072385151865,0.743794638543542
142,55,3459,0,0.0,1.0,1,0.0,1295.0,26.417,1916.0,male,Nisei,1994.0,A,0.2934,0.45,0.2615,0.45,1,0.9031297410243595,1.1072606233360969,0.7879533213697725
143,17,1079,0,0.0,1.0,1,0.0,1275.0,21.5,1921.0,female,Nisei,1994.0,A,0.3302,0.45,0.3159,0.45,1,0.8132345858057053,1.2296574905373194,0.8750538792726468
147,24,274,0,0.0,1.0,1,1.0,1312.0,14.333,1928.0,female,Nisei,2003.0,A,0.4037,0.55,0.3325,0.55,1,0.6646126024046298,1.504635928331644,1.070735156831581
149,23,250,0,0.0,1.0,1,1.0,3336.0,12.417,1930.0,male,Nisei,2003.0,A,0.361,0.9946,0.3087,0.45,1,0.8715545485536454,1.1473751145691469,0.8164997592507717
150,23,278,0,0.0,1.0,1,0.0,2645.0,9.417,1933.0,female,Nisei,2003.0,A,0.4656,0.7,0.3622,0.7,1,0.7278596969245621,1.373891155431901,0.9776940282238511
151,57,2393,0,0.0,1.0,1,0.0,847.0,29.25,1913.0,male,Nisei,2003.0,A,0.5636,0.85,0.5204,0.85,1,0.8406948739217387,1.1894922058167459,0.8464712955228659
16,45,325,0,0.0,1.0,1,0.0,2444.0,31.5,1911.0,female,Nisei,1998.0,A,0.4552,0.9565,0.4293,0.75,1,0.8880472335886971,1.1260662295617874,0.8013358435814444
17,25,213,0,0.0,1.0,1,0.0,2645.0,23.417,1919.0,male,Nisei,1997.0,A,0.3644,0.5935,0.278,0.45,1,0.9199540081358437,1.0870108626694917,0.7735431040840528
170,37,374,0,0.0,1.0,1,0.0,2662.0,20.417,1922.0,male,Nisei,2010.0,A,0.7809,0.9916,0.3311,0.75,1,0.8292528143287493,1.2059048612448358,0.8581509363269403
174,66,485,0,0.0,1.0,1,0.0,1444.0,19.417,1923.0,female,Nisei,2004.0,A,0.5832,0.9976,0.453,0.75,1,0.7061870051277651,1.4160555104225934,1.0076991985135972
178,25,326,0,0.0,1.0,1,1.0,2707.0,13.333,1929.0,male,Nisei,2004.0,A,0.6237,0.8709,0.292,0.55,1,0.8404675624998742,1.189813913847686,0.8467002307041125
179,20,193,0,0.0,1.0,1,0.0,2645.0,7.417,1935.0,male,Sansei,2004.0,A,0.6269,0.9189,0.2375,0.45,1,0.7295417828295213,1.3707234095921264,0.9754397840079
18,52,2051,0,0.0,1.0,1,1.0,1902.0,18.5,1924.0,female,Nisei,2009.0,A,0.4403,0.5731,0.2248,0.35,1,0.6724322012662197,1.487138774908393,1.0582837611404492
180,14,204,0,0.0,1.0,1,0.0,2240.0,20.25,1922.0,male,Nisei,2004.0,A,0.7557,0.9775,0.3577,0.45,1,0.8539533203535518,1.1710241955450005,0.8333290147210173
181,24,245,0,0.0,1.0,1,0.0,1312.0,21.333,1921.0,female,Nisei,2004.0,A,0.462,0.5413,0.2479,0.45,1,0.7120848238831485,1.404327077983195,0.9993529635799996
